country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",11-04-2025 00:00,24.762518,84.982348,NO2,16,19,18
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",11-04-2025 00:00,24.762518,84.982348,OZONE,1,52,48
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",11-04-2025 00:00,25.697189,85.2459,PM2.5,51,327,183
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",11-04-2025 00:00,25.697189,85.2459,NO2,16,50,22
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",11-04-2025 00:00,25.560083,87.553265,PM2.5,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",11-04-2025 00:00,25.560083,87.553265,SO2,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",11-04-2025 00:00,25.560083,87.553265,CO,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",11-04-2025 00:00,26.0881305,87.93840336,PM2.5,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",11-04-2025 00:00,26.0881305,87.93840336,CO,12,102,68
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",11-04-2025 00:00,27.308328,84.531742,SO2,NA,NA,NA
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",11-04-2025 00:00,26.1209,85.3647,SO2,3,5,4
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",11-04-2025 00:00,25.586562,85.043586,CO,9,44,30
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",11-04-2025 00:00,25.592539,85.227158,PM10,53,170,113
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",11-04-2025 00:00,25.592539,85.227158,OZONE,15,70,36
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",11-04-2025 00:00,25.610369,85.132568,PM2.5,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",11-04-2025 00:00,25.610369,85.132568,CO,17,57,46
India,Bihar,Patna,"Muradpur, Patna - BSPCB",11-04-2025 00:00,25.619651,85.147382,NO2,8,139,31
India,Bihar,Patna,"Muradpur, Patna - BSPCB",11-04-2025 00:00,25.619651,85.147382,SO2,4,7,6
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",11-04-2025 00:00,26.446912,91.439057,NH3,1,1,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA",11-04-2025 00:00,24.82827,92.79525,PM2.5,29,65,44
India,Assam,Silchar,"Tarapur, Silchar - PCBA",11-04-2025 00:00,24.82827,92.79525,NO2,14,15,15
India,Assam,Silchar,"Tarapur, Silchar - PCBA",11-04-2025 00:00,24.82827,92.79525,CO,30,38,33
India,Assam,Silchar,"Tarapur, Silchar - PCBA",11-04-2025 00:00,24.82827,92.79525,OZONE,1,23,7
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",11-04-2025 00:00,26.146529,87.454184,NO2,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",11-04-2025 00:00,26.146529,87.454184,NH3,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",11-04-2025 00:00,26.146529,87.454184,OZONE,9,14,10
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",11-04-2025 00:00,11.654054,92.734055,SO2,4,50,25
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",11-04-2025 00:00,11.654054,92.734055,CO,18,61,27
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",11-04-2025 00:00,16.5150833,80.5181667,PM2.5,9,39,25
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",11-04-2025 00:00,16.5150833,80.5181667,NO2,28,42,33
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",11-04-2025 00:00,16.5150833,80.5181667,NH3,1,3,3
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",11-04-2025 00:00,14.675886,77.593027,PM10,33,92,71
